[package] count=1 itemid=20010110 itemtype=equipment userid=1093 source=complete_quest time=2013-04-08_19:19:51.530751
[package] count=99 itemid=110 itemtype=consume source=init_profile type=get time=2013-04-08_19:29:22.545123 userid=1364
[package] count=1 itemid=1101 itemtype=consume source=init_profile type=get time=2013-04-08_19:29:22.545390 userid=1364
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.583885 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.585682 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.587399 userid=1265
[package] count=1 itemid=30300310 itemtype=equipment source=read_msg type=get time=2013-04-08_19:52:57.590544 userid=1265
[package] count=1 itemid=30300210 itemtype=equipment source=read_msg type=get time=2013-04-08_19:52:57.593640 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.595404 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.597141 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.598910 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.600648 userid=1265
[package] count=1 itemid=8002 itemtype=material source=read_msg type=get time=2013-04-08_19:52:57.602398 userid=1265
