[profile_attr] old_data=40.579180003 delta_type=1 attr=mp delta_data=-0.579180003048 userid=1346 source=dump_data time=2013-04-03_16:41:48.721733
[profile_attr] old_data=200 delta_type=0 attr=attr_10 delta_data=10 userid=1346 source=enter time=2013-04-03_16:41:52.845781
[profile_attr] old_data=32800 delta_type=1 attr=hp delta_data=3600 userid=1282 source=dump_data time=2013-04-03_16:44:44.054883
[profile_attr] old_data=0 delta_type=1 attr=mount_status delta_data=1 userid=889 source=dump_data time=2013-04-03_16:45:49.967937
[profile_attr] old_data=4200 delta_type=1 attr=attr_1 delta_data=6600 userid=1346 source=dump_data time=2013-04-03_16:46:12.848115
[profile_attr] old_data=12100 delta_type=1 attr=gold delta_data=2400 userid=1346 source=dump_data time=2013-04-03_16:46:12.848855
[profile_attr] old_data=14500 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:46:12.908814
[profile_attr] old_data=14490 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:49:32.010080
[profile_attr] old_data=14480 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:49:38.464143
[profile_attr] old_data=14470 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:49:42.990997
[profile_attr] old_data=1 delta_type=1 attr=mount_status delta_data=-1 userid=889 source=dump_data time=2013-04-03_16:49:46.115196
[profile_attr] old_data=14460 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:50:01.128913
[profile_attr] old_data=14450 delta_type=0 attr=gold delta_data=10 userid=1346 source=enhance time=2013-04-03_16:50:03.591637
[profile_attr] old_data=0 delta_type=1 attr=attr_2 delta_data=4 userid=1346 source=dump_data time=2013-04-03_16:52:31.602806
[profile_attr] old_data=10800 delta_type=1 attr=attr_1 delta_data=3100 userid=1346 source=dump_data time=2013-04-03_16:52:31.603568
[profile_attr] old_data=14440 delta_type=1 attr=gold delta_data=1100 userid=1346 source=dump_data time=2013-04-03_16:52:31.604332
[profile_attr] old_data=1 delta_type=1 attr=level delta_data=1 userid=1346 source=dump_data time=2013-04-03_16:52:31.606817
[profile_attr] old_data=200 delta_type=1 attr=hp delta_data=300 userid=1346 source=dump_data time=2013-04-03_16:52:31.607168
